image_path,label
data/flower_images\Lotus\699e6b5547.jpg,Lotus
data/flower_images\Lotus\16905dde87.jpg,Lotus
data/flower_images\Tulip\348d372bc9.jpg,Tulip
data/flower_images\Lilly\bc54f20732.jpg,Lilly
data/flower_images\Orchid\536543a70c.jpg,Orchid
data/flower_images\Sunflower\998e0f68b3.jpg,Sunflower
data/flower_images\Orchid\213361cc45.jpg,Orchid
data/flower_images\Orchid\1a3d96a2e7.jpg,Orchid
data/flower_images\Lilly\4033b67909.jpg,Lilly
data/flower_images\Orchid\5c307bc9c1.jpg,Orchid
data/flower_images\Lotus\5f08380b6d.jpg,Lotus
data/flower_images\Lotus\106c49d46c.jpg,Lotus
data/flower_images\Tulip\d1329f567a.jpg,Tulip
data/flower_images\Lilly\347433abca.jpg,Lilly
data/flower_images\Orchid\489cef8f04.jpg,Orchid
data/flower_images\Tulip\c24cb542ed.jpg,Tulip
data/flower_images\Orchid\3b1f206c3a.jpg,Orchid
data/flower_images\Tulip\c6f0732f61.jpg,Tulip
data/flower_images\Orchid\d0dc182656.jpg,Orchid
data/flower_images\Sunflower\274c0ef86f.jpg,Sunflower
data/flower_images\Tulip\404b4367ca.jpg,Tulip
data/flower_images\Sunflower\1c95a8fbc8.jpg,Sunflower
data/flower_images\Lotus\f644407335.jpg,Lotus
data/flower_images\Lotus\61ad7f5618.jpg,Lotus
data/flower_images\Sunflower\f699e15aa0.jpg,Sunflower
data/flower_images\Tulip\0f12423e1d.jpg,Tulip
data/flower_images\Tulip\6d25a6dcee.jpg,Tulip
data/flower_images\Sunflower\8ed458f9fe.jpg,Sunflower
data/flower_images\Lilly\f51ada146a.jpg,Lilly
data/flower_images\Lilly\30ef1f3151.jpg,Lilly
data/flower_images\Sunflower\b5e13484f2.jpg,Sunflower
data/flower_images\Sunflower\cff9067c6d.jpg,Sunflower
data/flower_images\Tulip\e08a5bb33a.jpg,Tulip
data/flower_images\Sunflower\e30d13f7b0.jpg,Sunflower
data/flower_images\Tulip\79aed34d60.jpg,Tulip
data/flower_images\Sunflower\3b214e07aa.jpg,Sunflower
data/flower_images\Orchid\f8f96c08d5.jpg,Orchid
data/flower_images\Sunflower\93f8b2c5cb.jpg,Sunflower
data/flower_images\Orchid\e06cb4780a.jpg,Orchid
data/flower_images\Orchid\96eb2101e8.jpg,Orchid
data/flower_images\Lotus\6bceecb753.jpg,Lotus
data/flower_images\Sunflower\e4d785b42f.jpg,Sunflower
data/flower_images\Tulip\aee3d2f574.jpg,Tulip
data/flower_images\Tulip\e5731eb449.jpg,Tulip
data/flower_images\Lotus\dd34dabec8.jpg,Lotus
data/flower_images\Lilly\01a0ec319c.jpg,Lilly
data/flower_images\Orchid\e2b20074e6.jpg,Orchid
data/flower_images\Orchid\d7b1b1d649.jpg,Orchid
data/flower_images\Sunflower\ac2730c920.jpg,Sunflower
data/flower_images\Lilly\29a523175b.jpg,Lilly
data/flower_images\Orchid\1c81df0661.jpg,Orchid
data/flower_images\Sunflower\241af1c69b.jpg,Sunflower
data/flower_images\Lilly\d44e2890f2.jpg,Lilly
data/flower_images\Lotus\20fae6a18b.jpg,Lotus
data/flower_images\Lilly\2b0944d8f5.jpg,Lilly
data/flower_images\Sunflower\964d491d98.jpg,Sunflower
data/flower_images\Lotus\0f127c677f.jpg,Lotus
data/flower_images\Lotus\9b03762a45.jpg,Lotus
data/flower_images\Sunflower\021d41a27d.jpg,Sunflower
data/flower_images\Orchid\06caeb294f.jpg,Orchid
data/flower_images\Sunflower\68e10d1dae.jpg,Sunflower
data/flower_images\Lotus\d06294e4c7.jpg,Lotus
data/flower_images\Orchid\b0d272848a.jpg,Orchid
data/flower_images\Sunflower\09bc6f0630.jpg,Sunflower
data/flower_images\Lilly\798d286f28.jpg,Lilly
data/flower_images\Sunflower\4a760f8ea1.jpg,Sunflower
data/flower_images\Tulip\124368bc4f.jpg,Tulip
data/flower_images\Sunflower\7d071fea51.jpg,Sunflower
data/flower_images\Lilly\4ab67c7fb7.jpg,Lilly
data/flower_images\Lotus\bf7e6f5a40.jpg,Lotus
data/flower_images\Tulip\9f71f415f9.jpg,Tulip
data/flower_images\Orchid\e03cad23fe.jpg,Orchid
data/flower_images\Lotus\ef5b23a329.jpg,Lotus
data/flower_images\Lilly\1b7aff1590.jpg,Lilly
data/flower_images\Orchid\cc01910218.jpg,Orchid
data/flower_images\Sunflower\9108550118.jpg,Sunflower
data/flower_images\Sunflower\b2b9d5848f.jpg,Sunflower
data/flower_images\Sunflower\ab94bbe61f.jpg,Sunflower
data/flower_images\Lilly\854de73eca.jpg,Lilly
data/flower_images\Lotus\e4062377b0.jpg,Lotus
data/flower_images\Lilly\abbfc1a3ac.jpg,Lilly
data/flower_images\Sunflower\ca06637840.jpg,Sunflower
data/flower_images\Sunflower\ee7ff79619.jpg,Sunflower
data/flower_images\Tulip\adf3d614dc.jpg,Tulip
data/flower_images\Orchid\040958be3f.jpg,Orchid
data/flower_images\Lotus\17ae326aa3.jpg,Lotus
data/flower_images\Lilly\d123ea2d90.jpg,Lilly
data/flower_images\Orchid\cc09538922.jpg,Orchid
data/flower_images\Sunflower\d1cb72a010.jpg,Sunflower
data/flower_images\Tulip\5ee09374b7.jpg,Tulip
data/flower_images\Sunflower\e1b12c9a8c.jpg,Sunflower
data/flower_images\Lilly\bef653b8e3.jpg,Lilly
data/flower_images\Orchid\c3129a321f.jpg,Orchid
data/flower_images\Tulip\52517c827e.jpg,Tulip
data/flower_images\Sunflower\4b73c79ee7.jpg,Sunflower
data/flower_images\Orchid\3393b97905.jpg,Orchid
data/flower_images\Orchid\5dcd382d04.jpg,Orchid
data/flower_images\Sunflower\6b3be31f15.jpg,Sunflower
data/flower_images\Sunflower\fa787dece8.jpg,Sunflower
data/flower_images\Lilly\e68768ad33.jpg,Lilly
data/flower_images\Sunflower\254300652f.jpg,Sunflower
data/flower_images\Lilly\fcda5483db.jpg,Lilly
data/flower_images\Sunflower\a9fe88313a.jpg,Sunflower
data/flower_images\Orchid\7d7a6eefa5.jpg,Orchid
data/flower_images\Tulip\133f902b94.jpg,Tulip
data/flower_images\Orchid\644db0ed9e.jpg,Orchid
data/flower_images\Tulip\d6758b0054.jpg,Tulip
data/flower_images\Lilly\0934dd1dde.jpg,Lilly
data/flower_images\Sunflower\c9d4bb2efb.jpg,Sunflower
data/flower_images\Lotus\05a9e346f9.jpg,Lotus
data/flower_images\Lotus\a9a2a731c2.jpg,Lotus
data/flower_images\Lilly\b93a5767de.jpg,Lilly
data/flower_images\Tulip\915a080855.jpg,Tulip
data/flower_images\Sunflower\46fe08e95f.jpg,Sunflower
data/flower_images\Lotus\a2af629d1b.jpg,Lotus
data/flower_images\Sunflower\2229f2ab59.jpg,Sunflower
data/flower_images\Orchid\af3ee0d142.jpg,Orchid
data/flower_images\Orchid\b39a69802f.jpg,Orchid
data/flower_images\Lilly\4dfcf5c5b5.jpg,Lilly
data/flower_images\Orchid\57ef7414dd.jpg,Orchid
data/flower_images\Lilly\a5eb26aef7.jpg,Lilly
data/flower_images\Sunflower\c6ef26a3e3.jpg,Sunflower
data/flower_images\Lotus\42fb71d2e0.jpg,Lotus
data/flower_images\Tulip\802c796369.jpg,Tulip
data/flower_images\Lilly\3d68be84ab.jpg,Lilly
data/flower_images\Sunflower\47defee3a3.jpg,Sunflower
data/flower_images\Sunflower\3967c0bb8e.jpg,Sunflower
data/flower_images\Lilly\af0cadb213.jpg,Lilly
data/flower_images\Orchid\bfb38a474a.jpg,Orchid
data/flower_images\Tulip\dab40fe054.jpg,Tulip
data/flower_images\Lilly\f689bd25b8.jpg,Lilly
data/flower_images\Lilly\a0372744a2.jpg,Lilly
data/flower_images\Tulip\1769809271.jpg,Tulip
data/flower_images\Tulip\13b8704158.jpg,Tulip
data/flower_images\Lotus\53273fc047.jpg,Lotus
data/flower_images\Lotus\d6fda0834a.jpg,Lotus
data/flower_images\Orchid\307c312759.jpg,Orchid
data/flower_images\Lotus\6b4056fb5f.jpg,Lotus
data/flower_images\Lotus\c96a797cee.jpg,Lotus
data/flower_images\Tulip\b97a5b688f.jpg,Tulip
data/flower_images\Tulip\b527e99290.jpg,Tulip
data/flower_images\Tulip\1b9fd469f0.jpg,Tulip
data/flower_images\Lotus\aa8bf913ec.jpg,Lotus
data/flower_images\Lotus\7afe9af588.jpg,Lotus
data/flower_images\Orchid\47f080ad4a.jpg,Orchid
data/flower_images\Lilly\dd9b725232.jpg,Lilly
data/flower_images\Sunflower\852e33aea3.jpg,Sunflower
data/flower_images\Orchid\03319092fe.jpg,Orchid
data/flower_images\Lilly\6c872153c9.jpg,Lilly
data/flower_images\Lilly\9f2954b3a9.jpg,Lilly
data/flower_images\Lotus\9a78c2c896.jpg,Lotus
data/flower_images\Orchid\3c2d06702b.jpg,Orchid
data/flower_images\Orchid\39ff78ba29.jpg,Orchid
data/flower_images\Tulip\781ab5aad7.jpg,Tulip
data/flower_images\Lotus\7bbf29116b.jpg,Lotus
data/flower_images\Lotus\bf4527eb22.jpg,Lotus
data/flower_images\Orchid\7bf3a56cf3.jpg,Orchid
data/flower_images\Orchid\998603004a.jpg,Orchid
data/flower_images\Orchid\e2b18d3a55.jpg,Orchid
data/flower_images\Lilly\2a9b2008c6.jpg,Lilly
data/flower_images\Lilly\aabbeb83a2.jpg,Lilly
data/flower_images\Lotus\4380fe9316.jpg,Lotus
data/flower_images\Tulip\e9c0a30b47.jpg,Tulip
data/flower_images\Lilly\02be2ca388.jpg,Lilly
data/flower_images\Lotus\d71ef2a5b1.jpg,Lotus
data/flower_images\Sunflower\41412df868.jpg,Sunflower
data/flower_images\Lotus\7ead61d7e8.jpg,Lotus
data/flower_images\Orchid\b72de071a7.jpg,Orchid
data/flower_images\Sunflower\b3b554ae91.jpg,Sunflower
data/flower_images\Lotus\6dd426e30c.jpg,Lotus
data/flower_images\Tulip\9a07d26eec.jpg,Tulip
data/flower_images\Tulip\95a289a797.jpg,Tulip
data/flower_images\Lilly\b8a141a38a.jpg,Lilly
data/flower_images\Lotus\3ac49999e4.jpg,Lotus
data/flower_images\Lotus\a5717121e7.jpg,Lotus
data/flower_images\Sunflower\ec8c75ba4e.jpg,Sunflower
data/flower_images\Lotus\340cb06a10.jpg,Lotus
data/flower_images\Sunflower\463d73f135.jpg,Sunflower
data/flower_images\Lotus\ee9e17074d.jpg,Lotus
data/flower_images\Lilly\8aa7c0fb8f.jpg,Lilly
data/flower_images\Lilly\7dd0a0bc05.jpg,Lilly
data/flower_images\Orchid\f45957156e.jpg,Orchid
data/flower_images\Orchid\54aa5af803.jpg,Orchid
data/flower_images\Orchid\33da9be6e0.jpg,Orchid
data/flower_images\Sunflower\0f7e3035ae.jpg,Sunflower
data/flower_images\Lilly\a708bac57e.jpg,Lilly
data/flower_images\Orchid\64f4d626a0.jpg,Orchid
data/flower_images\Orchid\3c9531cba5.jpg,Orchid
data/flower_images\Tulip\41dd022539.jpg,Tulip
data/flower_images\Lotus\2bc9c205dc.jpg,Lotus
data/flower_images\Lilly\25824d354d.jpg,Lilly
data/flower_images\Lilly\790c74dec8.jpg,Lilly
data/flower_images\Sunflower\38e4689ff1.jpg,Sunflower
data/flower_images\Lotus\68ceb6c74b.jpg,Lotus
data/flower_images\Orchid\de3b3c7803.jpg,Orchid
data/flower_images\Tulip\7c900429cd.jpg,Tulip
data/flower_images\Tulip\b2f42bf397.jpg,Tulip
data/flower_images\Orchid\d219b03f55.jpg,Orchid
data/flower_images\Lilly\4c4fa93e1d.jpg,Lilly
data/flower_images\Lotus\defa34022b.jpg,Lotus
data/flower_images\Sunflower\1df023e452.jpg,Sunflower
data/flower_images\Sunflower\a27dced2a0.jpg,Sunflower
data/flower_images\Orchid\50ad7f2d9c.jpg,Orchid
data/flower_images\Tulip\eb2e456c5f.jpg,Tulip
data/flower_images\Lotus\a243fa21f9.jpg,Lotus
data/flower_images\Lilly\fb9320b7b7.jpg,Lilly
data/flower_images\Lotus\cee81e1792.jpg,Lotus
data/flower_images\Orchid\a5acbf5742.jpg,Orchid
data/flower_images\Tulip\cdab6954c2.jpg,Tulip
data/flower_images\Sunflower\8806f62e8c.jpg,Sunflower
data/flower_images\Tulip\d457c09053.jpg,Tulip
data/flower_images\Sunflower\e64da198b5.jpg,Sunflower
data/flower_images\Orchid\1ce2a5ef71.jpg,Orchid
data/flower_images\Sunflower\0b26b4523e.jpg,Sunflower
data/flower_images\Lilly\69c25901e0.jpg,Lilly
data/flower_images\Lilly\f82fd5187a.jpg,Lilly
data/flower_images\Orchid\6e605803cd.jpg,Orchid
data/flower_images\Lilly\811045ef8f.jpg,Lilly
data/flower_images\Tulip\2545174fd4.jpg,Tulip
data/flower_images\Tulip\401407e1e6.jpg,Tulip
data/flower_images\Sunflower\ee139bff57.jpg,Sunflower
data/flower_images\Lilly\69ac84afb7.jpg,Lilly
data/flower_images\Tulip\239ff92015.jpg,Tulip
data/flower_images\Lotus\2f46c4607b.jpg,Lotus
data/flower_images\Lilly\7c123ce5b9.jpg,Lilly
data/flower_images\Lilly\e1f503b9d8.jpg,Lilly
data/flower_images\Lilly\cc2417da08.jpg,Lilly
data/flower_images\Lilly\8af266261d.jpg,Lilly
data/flower_images\Sunflower\d121c0fee2.jpg,Sunflower
data/flower_images\Lotus\319f6f1ab8.jpg,Lotus
data/flower_images\Tulip\3f8f5857cb.jpg,Tulip
data/flower_images\Tulip\0e6d4f1145.jpg,Tulip
data/flower_images\Lotus\4c721d6603.jpg,Lotus
data/flower_images\Orchid\3b28324aaa.jpg,Orchid
data/flower_images\Sunflower\7ee236b2fb.jpg,Sunflower
data/flower_images\Sunflower\aabca2a825.jpg,Sunflower
data/flower_images\Tulip\c4684b3f9c.jpg,Tulip
data/flower_images\Sunflower\01e2721665.jpg,Sunflower
data/flower_images\Orchid\19d820e0e7.jpg,Orchid
data/flower_images\Orchid\31d1842ce0.jpg,Orchid
data/flower_images\Sunflower\094e85a95a.jpg,Sunflower
data/flower_images\Sunflower\e78bef01e6.jpg,Sunflower
data/flower_images\Lotus\468620ce2a.jpg,Lotus
data/flower_images\Lilly\4cb2c5dea5.jpg,Lilly
data/flower_images\Tulip\d3a1b58707.jpg,Tulip
data/flower_images\Lilly\42ad6f53bf.jpg,Lilly
data/flower_images\Sunflower\3f51c50a49.jpg,Sunflower
data/flower_images\Lilly\5924fc5e6e.jpg,Lilly
data/flower_images\Lotus\2fa02150bf.jpg,Lotus
data/flower_images\Lotus\f4126f3cfd.jpg,Lotus
data/flower_images\Lilly\6b4f5756a6.jpg,Lilly
data/flower_images\Lilly\18ce641680.jpg,Lilly
data/flower_images\Sunflower\be1b535530.jpg,Sunflower
data/flower_images\Orchid\3f7e328367.jpg,Orchid
data/flower_images\Lilly\a99819f216.jpg,Lilly
data/flower_images\Sunflower\09f57497c5.jpg,Sunflower
data/flower_images\Lilly\07979dd880.jpg,Lilly
data/flower_images\Lilly\6d1f4c6e16.jpg,Lilly
data/flower_images\Lilly\acfab9e9f3.jpg,Lilly
data/flower_images\Tulip\71217976a4.jpg,Tulip
data/flower_images\Sunflower\eea6835cfd.jpg,Sunflower
data/flower_images\Sunflower\84c1f3aee5.jpg,Sunflower
data/flower_images\Lotus\8bda18ee1c.jpg,Lotus
data/flower_images\Orchid\075505b516.jpg,Orchid
data/flower_images\Orchid\3dfa76d322.jpg,Orchid
data/flower_images\Tulip\1bb4714648.jpg,Tulip
data/flower_images\Sunflower\3ad0494aed.jpg,Sunflower
data/flower_images\Lilly\434b2ccea1.jpg,Lilly
data/flower_images\Lotus\0718eba877.jpg,Lotus
data/flower_images\Tulip\6262bd7243.jpg,Tulip
data/flower_images\Sunflower\ca8e8abf25.jpg,Sunflower
data/flower_images\Tulip\4da7919d3a.jpg,Tulip
data/flower_images\Orchid\85c74fa111.jpg,Orchid
data/flower_images\Orchid\4b7d27d66c.jpg,Orchid
data/flower_images\Lotus\5416f6c645.jpg,Lotus
data/flower_images\Lotus\8ebb47f695.jpg,Lotus
data/flower_images\Tulip\a6e404999a.jpg,Tulip
data/flower_images\Lilly\5153d1ad6e.jpg,Lilly
data/flower_images\Lotus\3ed0f9f6f4.jpg,Lotus
data/flower_images\Orchid\766f9c9e0d.jpg,Orchid
data/flower_images\Lotus\978e624690.jpg,Lotus
data/flower_images\Tulip\a032419f2f.jpg,Tulip
data/flower_images\Sunflower\1e83807140.jpg,Sunflower
data/flower_images\Lilly\1412e4fff9.jpg,Lilly
data/flower_images\Lilly\d87022bf1a.jpg,Lilly
data/flower_images\Orchid\bf57d0322f.jpg,Orchid
data/flower_images\Lotus\a4a16e592c.jpg,Lotus
data/flower_images\Lotus\aa30f135df.jpg,Lotus
data/flower_images\Sunflower\d6db53f1e4.jpg,Sunflower
data/flower_images\Sunflower\1c6c05657b.jpg,Sunflower
data/flower_images\Lotus\145c63b4a9.jpg,Lotus
data/flower_images\Tulip\00b8fd6a70.jpg,Tulip
data/flower_images\Lilly\c66fdced87.jpg,Lilly
data/flower_images\Orchid\9e6c9a14b9.jpg,Orchid
data/flower_images\Sunflower\a35cba1e4d.jpg,Sunflower
data/flower_images\Orchid\20f737fea5.jpg,Orchid
data/flower_images\Lotus\e0b21081ec.jpg,Lotus
data/flower_images\Lilly\cd04f5545e.jpg,Lilly
data/flower_images\Lilly\62dbc22905.jpg,Lilly
data/flower_images\Orchid\df597076c2.jpg,Orchid
data/flower_images\Lotus\2cc68874be.jpg,Lotus
data/flower_images\Sunflower\31fd8c62f4.jpg,Sunflower
data/flower_images\Orchid\a224b64895.jpg,Orchid
data/flower_images\Lotus\59701040c1.jpg,Lotus
data/flower_images\Lilly\6867863801.jpg,Lilly
data/flower_images\Tulip\34f9f102dc.jpg,Tulip
data/flower_images\Lilly\1e17597391.jpg,Lilly
data/flower_images\Tulip\ff45bb890e.jpg,Tulip
data/flower_images\Sunflower\6c854f7eeb.jpg,Sunflower
data/flower_images\Orchid\cda084d73b.jpg,Orchid
data/flower_images\Orchid\9bc76d6fd2.jpg,Orchid
data/flower_images\Orchid\d60ec25a24.jpg,Orchid
data/flower_images\Orchid\64aab1fdbe.jpg,Orchid
data/flower_images\Lotus\3c4f7716c3.jpg,Lotus
data/flower_images\Orchid\26e227132b.jpg,Orchid
data/flower_images\Tulip\fa623bb2b7.jpg,Tulip
data/flower_images\Lilly\973be5f5c8.jpg,Lilly
data/flower_images\Lotus\70a8706971.jpg,Lotus
data/flower_images\Tulip\ff86812721.jpg,Tulip
data/flower_images\Lilly\8720a46d82.jpg,Lilly
data/flower_images\Lilly\b655d82b13.jpg,Lilly
data/flower_images\Tulip\6565dfcd55.jpg,Tulip
data/flower_images\Lotus\df426500ed.jpg,Lotus
data/flower_images\Orchid\d75e21bce6.jpg,Orchid
data/flower_images\Orchid\0c319b3498.jpg,Orchid
data/flower_images\Orchid\e615b57dd8.jpg,Orchid
data/flower_images\Orchid\42f22230a2.jpg,Orchid
data/flower_images\Sunflower\e6af14a166.jpg,Sunflower
data/flower_images\Lilly\3093726c21.jpg,Lilly
data/flower_images\Orchid\e22b09a499.jpg,Orchid
data/flower_images\Sunflower\af4012314e.jpg,Sunflower
data/flower_images\Lilly\16d58d78b8.jpg,Lilly
data/flower_images\Orchid\945ae417a5.jpg,Orchid
data/flower_images\Lotus\bc4431e960.jpg,Lotus
data/flower_images\Lotus\a2366b9646.jpg,Lotus
data/flower_images\Lotus\aaaf90b2d6.jpg,Lotus
data/flower_images\Orchid\549e744116.jpg,Orchid
data/flower_images\Tulip\9c5bb86209.jpg,Tulip
data/flower_images\Lilly\3aa55837fd.jpg,Lilly
data/flower_images\Lilly\19b61d6fe0.jpg,Lilly
data/flower_images\Orchid\9f6157862f.jpg,Orchid
data/flower_images\Sunflower\60f4d42565.jpg,Sunflower
data/flower_images\Tulip\65bf0fe087.jpg,Tulip
data/flower_images\Lotus\678f9ea2e3.jpg,Lotus
data/flower_images\Tulip\b1d94c94c2.jpg,Tulip
data/flower_images\Lotus\4bed3cdfec.jpg,Lotus
data/flower_images\Orchid\2b76a52102.jpg,Orchid
data/flower_images\Orchid\ed97b960a1.jpg,Orchid
data/flower_images\Sunflower\ad558dcf8d.jpg,Sunflower
data/flower_images\Lilly\cd33b0e852.jpg,Lilly
data/flower_images\Lotus\4353a6397f.jpg,Lotus
data/flower_images\Lilly\e064781f7e.jpg,Lilly
data/flower_images\Lotus\74b0776a19.jpg,Lotus
data/flower_images\Sunflower\50af8a3cc5.jpg,Sunflower
data/flower_images\Orchid\9402559636.jpg,Orchid
data/flower_images\Sunflower\9250070aac.jpg,Sunflower
data/flower_images\Orchid\ad77038bdc.jpg,Orchid
data/flower_images\Tulip\a7fbb2ee9f.jpg,Tulip
data/flower_images\Tulip\cfdd60ad76.jpg,Tulip
data/flower_images\Tulip\af59133db6.jpg,Tulip
data/flower_images\Orchid\f50299fa4d.jpg,Orchid
data/flower_images\Orchid\aada89f388.jpg,Orchid
data/flower_images\Lilly\8d65dfb2ac.jpg,Lilly
data/flower_images\Orchid\c4959d435a.jpg,Orchid
data/flower_images\Orchid\f1819f90eb.jpg,Orchid
data/flower_images\Orchid\d0a8254b19.jpg,Orchid
data/flower_images\Orchid\c06bc10e2b.jpg,Orchid
data/flower_images\Lotus\c3505c9ad9.jpg,Lotus
data/flower_images\Lilly\b7afda13b4.jpg,Lilly
data/flower_images\Lilly\3a07c14473.jpg,Lilly
